LABEL analytical,Absolute period,Large period,Site,Site abreviation,Easting - Longitude,Northing-Latitude,Type of site/context,Region,River basin,Country,Artefact type,208Pb/206Pb,207Pb/206Pb,208Pb/204Pb,207Pb/204Pb,206Pb/204Pb,Corrosion products,Alloy
SEALIP/KH/PKM/1,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Strip,"2,0916","0,84734","38,734","15,692","18,519",Low,Lead
SEALIP/KH/PKM/2,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,111","0,85739","38,674","15,707","18,32",Low,Bronze
SEALIP/KH/PKM/3,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1159","0,85501","38,867","15,706","18,369",Medium,Bronze
SEALIP/KH/PKM/4,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1165","0,85506","38,88","15,707","18,37",Low,Bronze
SEALIP/KH/PKM/5,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1168","0,85473","38,886","15,701","18,37",Low,Bronze
SEALIP/KH/PKM/6,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1159","0,855","38,865","15,705","18,368",Medium,Bronze
SEALIP/KH/PKM/7,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1124","0,85301","38,898","15,707","18,414",Medium,Bronze
SEALIP/KH/PKM/8,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,0622","0,82731","39,301","15,767","19,058",Low,Copper
SEALIP/KH/PKM/9,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Bangle,"2,1145","0,85469","38,852","15,704","18,374",Low,Bronze
SEALIP/KH/PKM/10,500-700 CE,Historic,Prei Khameng,PKM,103.757302,13.428109,cemetery,Siem Reap province,Mekong river basin,Cambodia,Fragment,"2,118","0,85531","38,857","15,692","18,346",Medium,Leaded bronze
SEALIP/KH/PH/1,150 BC - AD 50,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Drum,"2,1107","0,85059","38,966","15,703","18,461",Low,Leaded bronze
SEALIP/KH/PH/2,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Blade,"2,1152","0,85825","38,744","15,721","18,317",Low,Bronze
SEALIP/KH/PH/3,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Bangle,"2,1083","0,85245","38,898","15,728","18,45",Low,Bronze
SEALIP/KH/PH/4,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Bangle,"2,1047","0,85015","38,979","15,745","18,52",Medium,Bronze
SEALIP/KH/PH/5,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Bangle,"2,1154","0,85228","38,951","15,693","18,413",Low,Leaded bronze
SEALIP/KH/PH/6,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Bangle,"2,0991","0,85061","38,85","15,743","18,508",Low,Bronze
SEALIP/KH/PH/7,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Bangle,"2,1206","0,85481","38,907","15,683","18,347",Low,Leaded bronze
SEALIP/KH/PH/8,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Bowl,"2,1513","0,90264","37,293","15,647","17,335",Low,Bronze
SEALIP/KH/PH/9,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Drum,"2,1168","0,85262","38,97","15,697","18,41",Medium,Leaded bronze
SEALIP/KH/PH/10,100 BCE,Iron Age,Prohear,PH,105.522526,11.540274,cemetery,Prey Veng province,Mekong river basin,Cambodia,Bowl,"2,1637","0,87616","38,386","15,544","17,741",Medium,Leaded bronze
