LABEL analytical,relative period,absolute period,cultural attribution,Site,Sample label,Geo Latitude,Geo Longitude,Type of site/context,Region,Artefact type,Axe type,Category,Base,As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),As (ppm),Sb (ppm),Co (ppm),Ni (ppm),Ag (ppm),Au (ppm),Se (ppm),Chemical cluster,
MA-110618,EN,6200-5500 BC,Transitional Phase/Early Neolithic,Lepenski Vir,Lepenski Vir 1,"44Â°33'29.81""N","22Â° 0'15.41""E",settlement,SRB,copper mineral,unk,copper mineral,copper,34,1.05,2.92,57,0.8,0.087,1,-2.3596825,1.2438237,-0.4240782,-0.0702902,-0.1838519,0.6567728,-0.1728367,2,0
MA-110615,EN,6200-5500 BC,Late Mesolithic/Transitional Phase,Vlasac,Vlasac 2a,"44Â°28'12.26""N","22Â° 7'9.55""E",settlement,SRB,copper mineral,unk,copper mineral,copper,64,3.5,19.9,270,4.5,0.15,1.1,-1.6198335,1.4925764,0.3509386,-0.2453772,-0.0530568,-0.2609867,-0.3150804,2,0
MA-110612,EN,6200-5500 BC,Starcevo culture,Jariciste,Kolubara Jariciste S16,"44Â°27'39.96""N","20Â°13'7.37""E",settlement,SRB,copper mineral,unk,copper mineral,copper,9.7,1.97,15.8,490,6,0.018,4,-2.1822721,0.8974284,0.4564086,0.7409966,0.3295726,-0.4629842,-0.698258,2,0
MA-110626,LN,5500-5000 BC,Vinca culture,Belovode,Belovode 9,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,370,9.1,3,150,3,0.175,2,-0.9867488,1.989853,-0.4208487,-0.0393443,-0.1746615,0.2745689,-0.4067087,2,1
MA-110625,LN,5500-5000 BC,Vinca culture,Belovode,Belovode 10,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,18.6,0.4,2.6,130,1,0.03,2,-2.6992803,0.9710522,-0.2583929,0.4625825,-0.3147166,0.5146335,-0.5606604,2,1
MA-110630,LN,5500-5000 BC,Vinca culture,Belovode,Belovode M35,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,copper mineral,unk,copper mineral,copper,1180,21.5,5.8,150,2.9,0.03,360,-0.0638353,2.2512085,0.428003,1.8484795,0.2880009,1.0513351,-0.762045,2,1
MA-140911,LN,5500-5000 BC,Vinca culture,Belovode,B155/13,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Copper mineral,unk,copper mineral,copper,534,12.21,4,61,1,0.031,0.78,-1.6327587,2.6355656,-0.6606938,0.1949739,0.0872016,0.3141348,-0.0155026,2,1
MA-140912,LN,5500-5000 BC,Vinca culture,Belovode,B350/13,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Copper mineral,unk,copper mineral,copper,252,12.1,0.62,41,1,0.271,1,-1.177504,1.8977858,-1.2235553,-0.3593,-0.0136984,0.8383577,-0.1869308,2,1
MA-140913,LN,5500-5000 BC,Vinca culture,Belovode,B385/13,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,Copper mineral,unk,copper mineral,copper,30.5,1.37,2.98,100,2,0.014,0.97,-2.524719,1.3640999,-0.5186839,0.5575674,-0.0529408,0.0311223,-0.2719034,2,1
MA-140921,LN,5500-5000 BC,Vinca culture,Plocnik,P55/13,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,copper mineral,unk,copper mineral,copper,513,25.1,3.3,121,2,0.948,2.9,-0.3922835,2.0404962,-0.3347221,-0.5542007,0.0461289,0.6522995,-0.3892326,2,0
MA-140922,LN,5500-5000 BC,Vinca culture,Plocnik,P121/13,"43Â°12'35.72""N","21Â°21'50.42""E",settlement,SRB,copper mineral,unk,copper mineral,copper,228,12.28,25,214,11.7,1.34,2,-0.4073913,1.5919522,0.498205,-0.7112702,-0.1309857,-0.16996,-0.1343683,2,0
MA-110628,EC,5000-4600 BC,Vinca culture,Belovode,Belovode 12,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,malachite bead,unk,mineral ornament,copper,19.3,3.3,38,370,4,0.062,4,-1.8284102,1.1631102,0.7901102,0.2764457,0.3720847,-0.2277784,-0.500731,2,1
MA-110607,EC,5000-4600 BC,Vinca culture,Belovode,Belovode 18,"44Â°18'42.34""N","21Â°24'27.09""E",settlement,SRB,copper mineral,unk,copper mineral,copper,51,1.25,11.5,103,2,0.021,3,-2.2280188,1.4737908,0.1975131,0.6773264,-0.0808352,0.2121897,-0.1937769,2,1
