id,LABEL analytical,local/regional cultural attribution (can vary a lot!),absolute period,Site,Easting - Longitude,Northing-Latitude,Type of site/context,Region,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
1,SEALIP/CH/HBS/3,Mid Bronze Age level 5,800 - 600 BC,Hebosuo,102.688685, 24.710593,,Yunnan,China,Fragment,0.0001,0.0237,29.8193,0.0330,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0190,0.0001,0.0313,0.0001,0.0001,0.0001,68.7310,0.0001,0.0001,0.1833,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0833,0.5677,0.0001,pXRF,,
2,SEALIP/CH/HBS/4,Mid Bronze Age level 5,800 - 600 BC,Hebosuo,102.688685, 24.710593,,Yunnan,China,Copper,0.0001,0.0001,3.7600,0.0500,0.0001,0.2600,0.0001,0.0001,0.0001,0.0001,0.4800,0.8800,0.0001,0.0001,0.0001,0.0001,1.8800,91.8100,0.0001,0.0001,0.0200,0.0100,0.0001,0.0001,0.0001,0.2700,0.3900,0.0001,0.1500,0.0001,0.0001,pXRF,,
3,SEALIP/CH/HBS/5,Mid Bronze Age level 5,800 - 600 BC,Hebosuo,102.688685, 24.710593,,Yunnan,China,Copper,0.0001,0.0001,5.6300,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4400,0.6700,0.0001,0.0700,0.0001,0.0001,1.3800,90.5700,0.0001,0.0001,0.0100,0.0001,0.0001,0.0001,0.0001,0.3100,0.7000,0.0001,0.1300,0.0001,0.0001,pXRF,,
4,SEALIP/CH/HBS/6,Mid Bronze Age level 5,800 - 600 BC,Hebosuo,102.688685, 24.710593,,Yunnan,China,Copper,0.0001,0.0001,0.0001,0.0001,0.0001,0.1400,0.0001,0.0001,0.0001,0.0001,0.0001,0.1400,0.1100,0.1500,0.0001,0.0001,1.7900,95.1700,0.0001,1.2700,0.0001,0.0900,0.0100,0.0001,0.0001,0.3300,0.8000,0.0001,0.0200,0.0001,0.0001,pXRF,,
5,SEALIP/CH/HBS/7,Mid Bronze Age level 5,800 - 600 BC,Hebosuo,102.688685, 24.710593,,Yunnan,China,Fragment,0.0001,0.0001,1.1500,0.1600,0.0001,0.1300,0.0001,0.0001,0.0001,0.0001,0.0001,0.1900,0.0100,0.3500,0.0001,0.0001,1.5600,93.9900,0.0600,1.3000,0.1300,0.0001,0.0400,0.0001,0.0001,0.7600,0.0600,0.0001,0.0800,0.0001,0.0001,pXRF,,
6,SEALIP/CH/HBS/8,Late Bronze Age level 3,675 - 550 BC,Hebosuo,102.688685, 24.710593,,Yunnan,China,Copper,0.0001,0.0001,0.2600,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4900,0.8800,0.0001,0.0200,0.0001,0.0001,1.0900,95.7400,0.0001,0.0001,0.0600,0.0600,0.0001,0.0001,0.0001,0.5800,0.7000,0.0001,0.1200,0.0001,0.0001,pXRF,,
7,SEALIP/CH/XIW/1,Early Bronze Age level 10,1100 - 800 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Pin,0.0001,0.0001,12.7000,0.0001,0.0001,0.1800,0.0001,0.0001,0.0001,0.0001,0.7500,1.0100,0.0001,0.0001,0.0001,0.0001,0.5500,83.1200,0.0600,0.0001,0.2000,0.0001,0.1400,0.0001,0.0001,0.4900,0.6200,0.0001,0.1700,0.0001,0.0200,pXRF,,
8,SEALIP/CH/XIW/2,Early Bronze Age level 10,1100 - 800 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,0.0001,0.0001,4.0400,0.0200,0.0001,0.1100,0.0001,0.0001,0.0001,0.0001,0.3400,0.4700,0.0001,0.0001,0.0001,0.0001,0.1100,93.8000,0.0001,0.0700,0.1400,0.0200,0.0001,0.0001,0.0001,0.4800,0.2600,0.0001,0.1100,0.0001,0.0001,pXRF,,
9,SEALIP/CH/XIW/3,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,0.0001,0.0001,0.3500,0.0700,0.0001,0.0200,0.0001,0.0001,0.0001,0.0001,0.4700,0.7300,0.2400,0.3700,0.0001,0.0001,1.2500,95.6200,0.0001,0.0001,0.0001,0.0001,0.0500,0.0001,0.0001,0.5100,0.2600,0.0001,0.0200,0.0001,0.0100,pXRF,,
10,SEALIP/CH/XIW/4,Mid Bronze Age level 8,800 - 750 BC,Xiwangmiao,102.691642,24.709975,,Yunnan,China,Fragment,0.0001,0.0001,3.1000,0.0001,0.0001,0.0600,0.0001,0.0001,0.0001,0.0001,0.0001,0.6000,0.0700,0.1500,0.0001,0.0001,1.8600,91.7000,0.0001,1.3700,0.1300,0.0001,0.0400,0.0001,0.0001,0.5900,0.1100,0.0001,0.0500,0.0001,0.0700,pXRF,,
