,LABEL analytical,absolute period,Large period,Site,Site abrevation,Easting - Longitude,Northing-Latitude,Type of site/context,Region,River basin ,River basin coordinates-E,River basin coordinates-N,Country,Artefact type,O,Sb,Sn,Cd,Pd,Ag,Ru,Mo,Nb,Zr,Bi,Pb,Se,As,Au,W,Zn,Cu,Ni,Co,Fe,Mn,Cr,V,Ti,Al,S,Cl,P,Si,Mg,Analytical technique,Corrosion products,
3,SEALIP/CH/HBS/3,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685, 24.710593,,Yunnan,Red river basin ,103.1615,24.1253,China,Fragment,nd,0.0237,29.8193,0.0330,nd,nd,nd,nd,nd,nd,nd,0.0190,nd,0.0313,nd,nd,nd,68.7310,nd,nd,0.1833,nd,nd,nd,nd,nd,nd,nd,0.0833,0.5677,nd,pXRF,Low,
4,SEALIP/CH/HBS/4,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685, 24.710593,,Yunnan,Red river basin ,103.1615,24.1253,China,Copper,nd,nd,3.7600,0.0500,nd,0.2600,nd,nd,nd,nd,0.4800,0.8800,nd,nd,nd,nd,1.8800,91.8100,nd,nd,0.0200,0.0100,nd,nd,nd,0.2700,0.3900,nd,0.1500,nd,nd,pXRF,Low,
5,SEALIP/CH/HBS/5,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685, 24.710593,,Yunnan,Red river basin ,103.1615,24.1253,China,Copper,nd,nd,5.6300,nd,nd,nd,nd,nd,nd,nd,0.4400,0.6700,nd,0.0700,nd,nd,1.3800,90.5700,nd,nd,0.0100,nd,nd,nd,nd,0.3100,0.7000,nd,0.1300,nd,nd,pXRF,High,
6,SEALIP/CH/HBS/6,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685, 24.710593,,Yunnan,Red river basin ,103.1615,24.1253,China,Copper,nd,nd,nd,nd,nd,0.1400,nd,nd,nd,nd,nd,0.1400,0.1100,0.1500,nd,nd,1.7900,95.1700,nd,1.2700,nd,0.0900,0.0100,nd,nd,0.3300,0.8000,nd,0.0200,nd,nd,pXRF,Low,
7,SEALIP/CH/HBS/1,800 - 600 BC,Bronze Age,Hebosuo,HBS,102.688685, 24.710593,,Yunnan,Red river basin ,103.1615,24.1253,China,Fragment,nd,nd,1.1500,0.1600,nd,0.1300,nd,nd,nd,nd,nd,0.1900,0.0100,0.3500,nd,nd,1.5600,93.9900,0.0600,1.3000,0.1300,nd,0.0400,nd,nd,0.7600,0.0600,nd,0.0800,nd,nd,pXRF,Medium,
8,SEALIP/CH/HBS/2,675 - 550 BC,Bronze Age,Hebosuo,HBS,102.688685, 24.710593,,Yunnan,Red river basin ,103.1615,24.1253,China,Copper,nd,nd,0.2600,nd,nd,nd,nd,nd,nd,nd,0.4900,0.8800,nd,0.0200,nd,nd,1.0900,95.7400,nd,nd,0.0600,0.0600,nd,nd,nd,0.5800,0.7000,nd,0.1200,nd,nd,pXRF,Medium,
9,SEALIP/CH/JXT/1,1100 - 800 BC,Bronze Age,Shangxihe,JXT,102.691642,24.709975,,Yunnan,Red river basin ,103.1615,24.1253,China,Pin,nd,nd,12.7000,nd,nd,0.1800,nd,nd,nd,nd,0.7500,1.0100,nd,nd,nd,nd,0.5500,83.1200,0.0600,nd,0.2000,nd,0.1400,nd,nd,0.4900,0.6200,nd,0.1700,nd,0.0200,pXRF,Low,
10,SEALIP/CH/JXT/2,1100 - 800 BC,Bronze Age,Shangxihe,JXT,102.691642,24.709975,,Yunnan,Red river basin ,103.1615,24.1253,China,Fragment,nd,nd,4.0400,0.0200,nd,0.1100,nd,nd,nd,nd,0.3400,0.4700,nd,nd,nd,nd,0.1100,93.8000,nd,0.0700,0.1400,0.0200,nd,nd,nd,0.4800,0.2600,nd,0.1100,nd,nd,pXRF,Low,
11,SEALIP/CH/JXT/3,800 - 750 BC,Bronze Age,Shangxihe,JXT,102.691642,24.709975,,Yunnan,Red river basin ,103.1615,24.1253,China,Fragment,nd,nd,0.3500,0.0700,nd,0.0200,nd,nd,nd,nd,0.4700,0.7300,0.2400,0.3700,nd,nd,1.2500,95.6200,nd,nd,nd,nd,0.0500,nd,nd,0.5100,0.2600,nd,0.0200,nd,0.0100,pXRF,Low,
12,SEALIP/CH/JXT/4,800 - 750 BC,Bronze Age,Shangxihe,JXT,102.691642,24.709975,,Yunnan,Red river basin ,103.1615,24.1253,China,Fragment,nd,nd,3.1000,nd,nd,0.0600,nd,nd,nd,nd,nd,0.6000,0.0700,0.1500,nd,nd,1.8600,91.7000,nd,1.3700,0.1300,nd,0.0400,nd,nd,0.5900,0.1100,nd,0.0500,nd,0.0700,pXRF,Low,
